Month,Fund,Benchmark
7/31/2004,100,100
8/31/2004,100.06,105.51
9/30/2004,100.75,108.26
10/29/2004,99.72,107.33
11/30/2004,102.77,116.41
12/31/2004,103.13,120.01
1/31/2005,102.76,116.07
2/28/2005,107.46,122.19
3/31/2005,103.94,116.36
4/29/2005,103.67,117.71
5/31/2005,103,119.9
6/30/2005,104.24,124.06
7/29/2005,104.68,129.25
8/31/2005,101.06,125.47
9/30/2005,103.68,128.95
10/31/2005,99.8,119.33
11/30/2005,106.61,127.02
12/30/2005,114.82,132.37
1/31/2006,127.34,140.86
2/28/2006,133.02,141.72
3/31/2006,148.38,143.59
4/28/2006,158.73,154.2
5/31/2006,155.41,145
6/30/2006,146.31,144.95
7/31/2006,146.96,144.26
8/31/2006,152.52,148.88
9/29/2006,159.28,153.41
10/31/2006,166.59,157.92
11/30/2006,183.64,172.46
12/29/2006,199.79,184.66
1/31/2007,203.79,180.85
2/28/2007,211.64,179.58
3/30/2007,216.77,181.19
4/30/2007,218.38,184.58
5/31/2007,224.58,193.1
6/29/2007,239.78,209.22
7/31/2007,263.66,223.85
8/31/2007,252.17,228.44
9/28/2007,275.95,260.78
10/31/2007,298.92,291.46
11/30/2007,274.92,260.97
12/31/2007,263.79,254.77
1/31/2008,217.32,214.47
2/29/2008,226.98,232.47
3/31/2008,203.11,218.42
4/30/2008,213.22,239.92
5/30/2008,209.23,231.96
6/30/2008,191.13,205.25
7/31/2008,185.81,202.53
8/29/2008,180.05,191.78
9/30/2008,168.64,154.98
10/31/2008,158.75,122.32
11/28/2008,163.18,120.25
12/31/2008,172.11,127.94
1/30/2009,166.15,123.42
2/27/2009,163.81,122.5
3/31/2009,170.51,139.66
4/30/2009,194.21,152.38
5/29/2009,230.73,172.26
6/30/2009,235.41,186.02
7/31/2009,264.01,210.65
8/31/2009,253.28,183.37
9/30/2009,267.34,192.93
10/30/2009,269.96,206.27
11/30/2009,281.05,213.77
12/31/2009,288.74,215.84
1/29/2010,273.03,195.04
2/26/2010,275.57,199.3
3/31/2010,288.4,208.07
4/30/2010,292.98,202.28
5/31/2010,274.58,188.8
6/30/2010,271.87,187.7
7/30/2010,282.45,199.61
8/31/2010,287.19,195.24
9/30/2010,310.59,209.32
10/29/2010,319.05,224.29
11/30/2010,324.63,215.76
12/31/2010,325.46,215.56
1/31/2011,320.39,214.26
2/28/2011,311.91,213.98
3/31/2011,321.43,222.13
4/29/2011,338.85,225.14
5/31/2011,333.08,222.54
6/30/2011,328.6,218.61
7/29/2011,334.22,215.89
8/31/2011,310.87,199.4
9/30/2011,276.12,171.09
10/31/2011,292.09,191.38
11/30/2011,272.67,176.4
12/30/2011,269.02,177.28
1/31/2012,283.55,193.22
2/29/2012,299.21,205.44
3/30/2012,285.11,191.47
4/30/2012,291.44,200
5/31/2012,280.12,184.65
6/29/2012,276.7,184.85
7/31/2012,277.91,184.33
8/31/2012,277.68,177.27
9/28/2012,285.28,188.07
10/31/2012,287.95,194.57
11/30/2012,294.45,194.25
12/31/2012,297.89,211.9
1/31/2013,318.32,221.88
2/28/2013,322.7,215.84
3/29/2013,322.18,204.57
4/30/2013,333.23,205.22
5/31/2013,343.27,209.21
6/28/2013,329.14,189.05
7/31/2013,338.21,194.27
8/30/2013,338.65,201.29
9/30/2013,347.26,210.96
10/31/2013,360.48,213.49
11/29/2013,374.45,222.46
12/31/2013,383.03,214.84
1/31/2014,380.26,201.76
2/28/2014,397.16,202.98
3/31/2014,376.46,198.71
4/30/2014,358.55,195.47
5/30/2014,363.92,201.47
6/30/2014,371.85,207.42
7/31/2014,361.6,226.14
8/29/2014,365.23,226.5
9/30/2014,353.98,220.89
10/31/2014,357.66,229.35
11/28/2014,355.78,240.99
12/31/2014,359.07,265.64
1/30/2015,352.71,265.17
2/28/2015,361.74,274.29
3/31/2015,380.28,297.39
4/30/2015,417.43,351.23
5/29/2015,423.91,348.72
6/30/2015,406.11,324.78
7/31/2015,374.97,283.78
8/31/2015,342.33,246.87
9/30/2015,341.6,238.48
10/30/2015,360.6,263.18
11/30/2015,365.98,258
12/31/2015,361.28,257.98
1/29/2016,319.14,211.22
2/29/2016,311.12,207.02
3/31/2016,332.08,233.34
4/29/2016,329.22,230.16
5/31/2016,328.31,227.9
6/30/2016,328.53,229.36
7/29/2016,335.75,236.56
8/31/2016,356.14,250.05
9/30/2016,356.51,250.96
10/31/2016,348.19,249.23
11/30/2016,330.87,251.36
12/30/2016,313.58,238.15
1/31/2017,328.87,250.57
2/28/2017,339.51,258.41
3/31/2017,350.26,261.06
4/28/2017,366.47,264.33
5/31/2017,376.77,273.73
6/30/2017,393.56,284.43
7/31/2017,410.19,303.5
8/31/2017,431.83,316.21
9/29/2017,441.88,318.38
10/31/2017,449.06,330.57
11/30/2017,455.51,330.16
12/29/2017,460.75,336.81
1/31/2018,489.48,373.54
2/28/2018,484.35,349.13
3/30/2018,484.32,339.16
4/30/2018,467.47,332.93
5/31/2018,499.65,335.89
6/29/2018,474.19,312.15
7/31/2018,455.46,305.09
8/31/2018,426.55,291.02
9/28/2018,398.89,290.77
10/31/2018,359.75,259
11/30/2018,365.31,272.51
12/31/2018,352.8,258.88
1/31/2019,377.27,285.24
2/28/2019,403.78,305.75
3/29/2019,425.85,316.6
4/30/2019,429.46,321.18
5/31/2019,397.76,284.22
6/28/2019,416.57,304.7
7/31/2019,429.14,304.34
8/30/2019,432.79,292.32
9/30/2019,435.24,292.74
10/31/2019,459.24,303.55
11/29/2019,455.26,305.8
12/31/2019,477.61,331.02
1/31/2020,487.48,319.94
2/28/2020,509.49,320.23
3/31/2020,461.59,298.32
4/30/2020,493.6,318
5/29/2020,495.28,315.17
6/30/2020,544.9,344.63
7/31/2020,583.39,383.69
8/31/2020,582.04,403.95
9/30/2020,560.73,390.1
10/30/2020,570.5,408.56
11/30/2020,587.5,424.61
12/31/2020,650.68,442.28
1/29/2021,673.39,470.05
2/26/2021,649.9,465.2
3/31/2021,618.84,435.67
4/30/2021,663.78,445.77
5/31/2021,672.74,458.3
6/30/2021,684.39,456.28
7/30/2021,651.97,405.69
8/31/2021,630.66,406.62
9/30/2021,619.48,395.63
10/29/2021,644.43,406.64
11/30/2021,653.3,391.59
12/31/2021,635.05,385.65
1/31/2022,573.73,365.12
2/28/2022,563.99,360.63
3/31/2022,520,330.65
4/29/2022,452.85,309.94
5/31/2022,449.66,315.62
6/30/2022,446.29,340.55
7/29/2022,424.94,313.26
8/31/2022,419.28,308.24
9/30/2022,382.92,270.49
10/31/2022,364.98,233.91
11/30/2022,386.29,283.73
12/30/2022,388.83,295.16
1/31/2023,426.39,327.79
2/28/2023,394.54,302.14
3/31/2023,406.37,309.94
4/28/2023,390.42,297.94
5/31/2023,387.03,274.32
6/30/2023,396.62,279.59
7/31/2023,409.91,304.99
8/31/2023,398.97,278.76
9/29/2023,385.36,272.01
10/31/2023,371.68,261.67
11/30/2023,405.11,266.92
12/29/2023,421.17,261.65
1/31/2024,432.88,263.25
2/29/2024,472.57,274.65
3/29/2024,490.84,283.45
4/30/2024,462.61,274.2
5/31/2024,491.35,285.5
6/28/2024,523.39,291.96
7/31/2024,486.4,296.76
8/30/2024,502.99,304.4
9/30/2024,508.32,311.6
10/31/2024,506.45,304.71
11/29/2024,502.65,316.21
12/31/2024,505.92,308.83
1/31/2025,513.5,319.27
2/28/2025,494.32,317.44
3/31/2025,439.38,305.09
4/30/2025,432.73,308.06
